truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
0.262451,0.0255088,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
2.26116,0.742483,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
2.25845,2.36074,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
0.369531,1.50676,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
1.26289,0.638152,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
2.40161,0.181629,1,0.682526,678.692,1.22463,488.217,-0.120177,687.512,1.24009,485.509,-0.126502
1.72103,1.25409,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
1.81428,2.28492,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
0.881621,0.406926,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
2.41126,0.681623,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
1.79206,0.0178059,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
1.1465,1.49355,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
1.54937,1.19823,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
1.98592,2.34073,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
0.630748,2.43598,1,1.93801,384.822,-0.676702,864.559,-1.38188,377.37,-0.661771,874.064,-1.39999
2.14695,2.47896,1,2.19021,-764.365,-0.846286,-752.159,-0.7033,-792.117,-0.862863,-730.769,-0.681628
1.78649,2.21371,1,2.19021,-764.365,-0.846286,-752.159,-0.7033,-792.117,-0.862863,-730.769,-0.681628
2.16099,2.31396,1,2.19021,-764.365,-0.846286,-752.159,-0.7033,-792.117,-0.862863,-730.769,-0.681628
2.00147,0.988195,1,2.19021,-764.365,-0.846286,-752.159,-0.7033,-792.117,-0.862863,-730.769,-0.681628
1.1131,1.42639,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.928767,1.63783,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
1.67777,0.674359,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
1.53248,0.853787,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.232326,2.12982,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.41662,2.34122,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
2.31413,0.719701,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.649909,0.118636,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
1.79946,0.000401396,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.961072,2.06831,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
1.6542,0.179553,1,1.12808,630.717,0.914102,991.474,1.63194,625.297,0.903512,984.423,1.62372
0.178339,1.62008,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
2.20616,0.804479,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.83455,1.65246,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.1794,1.682,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.99181,1.41012,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.15063,1.48141,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.4621,1.28613,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
0.483284,2.28083,1,1.73479,-433.471,-0.25738,-291.371,-1.43417,-438.224,-0.287438,-278.591,-1.42267
1.70527,1.51788,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.54955,1.74035,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.46298,1.65146,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
0.189816,0.0522755,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
0.276431,0.0366651,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.6243,1.16526,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
1.54388,2.00406,1,1.66574,-20.9085,-0.222683,-1278.98,-1.69996,2.37022,-0.188615,-1286.54,-1.70994
