truedoca,recodoca,ambig,theta,FitA0,FitA1,FitB0,FitB1,TrueA0,TrueA1,TrueB0,TrueB1
1.4299,1.35496,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.387848,0.470487,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
2.20561,2.29595,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.99898,0.771542,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
0.18121,1.05393,1,1.81628,-104.087,-0.780867,169.723,3.59925,-83.8616,-0.950671,163.403,3.66045
1.06448,1.08404,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.761527,0.739102,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.71736,0.951254,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.55092,0.216399,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.4565,0.337866,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.431715,0.710457,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.337288,0.831936,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.351471,0.791222,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
2.24368,1.78491,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.98469,1.46882,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
0.766043,0.274343,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.7005,0.993879,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.55945,0.553772,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
1.69376,0.443477,1,1.36647,-70.9388,0.310439,710.088,1.16401,-68.0131,0.31648,709.236,1.16171
2.04894,1.50181,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.75365,1.03264,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.11307,0.784976,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.04384,0.716818,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.0581615,0.41752,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.711113,1.19013,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.05971,0.632819,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.0493,0.791018,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.1242,1.39005,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.132838,0.506237,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.202072,0.574378,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.14024,1.48517,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.90952,2.25777,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.85586,1.58035,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.355329,0.391198,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.81821,1.7899,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
2.15946,2.35012,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
1.8286,1.63171,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.0933691,1.517,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
2.05133,0.651566,1,1.58936,412.312,-0.019929,660.142,-0.577424,413.407,-0.0214797,660.137,-0.576768
0.00643436,1.23804,1,1.37167,719.958,1.24807,-2333.51,-4.3972,620.418,1.09473,785.038,0.592987
